"n5_v_1" :  : 爽やか (sawayaka) [emotions_sentiments]
"n5_v_123" :  : クラス (kurasu) [ecole_apprentissage]
"n5_v_124" :  : テスト (tesuto) [ecole_apprentissage]
"n5_v_125" :  : ノート (nooto) [ecole_apprentissage]
"n5_v_126" :  : 大学 (daigaku) [ecole_apprentissage]
"n5_v_127" :  : 学校 (gakkou) [ecole_apprentissage]
"n5_v_128" :  : 川 (kawa) [lieux]
"n5_v_129" :  : 幼稚園 (youchien) [ecole_apprentissage]
"n5_v_130" :  : 引く (hiku) [ecole_apprentissage]
"n5_v_131" :  : 授業 (jugyou) [ecole_apprentissage]
"n5_v_132" :  : 教える (oshieru) [ecole_apprentissage]
"n5_v_133" :  : 教室 (kyoushitsu) [ecole_apprentissage]
"n5_v_134" :  : 本 (hon) [ecole_apprentissage]
"n5_v_135" :  : 知る (shiru) [ecole_apprentissage]
"n5_v_136" :  : 英語 (eigo) [ecole_apprentissage]
"n5_v_137" :  : 覚える (oboeru) [ecole_apprentissage]
"n5_v_138" :  : 言葉 (kotoba) [ecole_apprentissage]
"n5_v_139" :  : 辞書 (jisho) [ecole_apprentissage]
"n5_v_140" :  : 鉛筆 (enpitsu) [ecole_apprentissage]
"n5_v_141" :  : 仕事 (shigoto) [travail_entreprise]
"n5_v_142" :  : 会社 (kaisha) [travail_entreprise]
"n5_v_143" :  : 勤める (tsutomeru) [travail_entreprise]
"n5_v_144" :  : 忙しい (isogashii) [travail_entreprise]
"n5_v_145" :  : 机 (tsukue) [travail_entreprise]
"n5_v_146" :  : 郵便局 (yuubinkyoku) [travail_entreprise]
"n5_v_147" :  : タクシー (takushii) [transports]
"n5_v_148" :  : バス (basu) [transports]
"n5_v_149" :  : 乗る (noru) [transports]
"n5_v_150" :  : 出かける (dekakeru) [transports]
"n5_v_151" :  : 地下鉄 (chikatetsu) [transports]
"n5_v_152" :  : 来る (kuru) [transports]
"n5_v_153" :  : 生まれる (umareru) [transports]
"n5_v_154" :  : 自動車 (jidousha) [transports]
"n5_v_155" :  : 自転車 (jitensha) [transports]
"n5_v_156" :  : 行く (iku) [transports]
"n5_v_157" :  : 走る (hashiru) [transports]
"n5_v_158" :  : 車 (kuruma) [transports]
"n5_v_159" :  : 電車 (densha) [transports]
"n5_v_160" :  : 飛ぶ (tobu) [transports]
"n5_v_161" :  : 飛行機 (hikouki) [transports]
"n5_v_162" :  : 駅 (eki) [transports]
"n5_v_163" :  : かかる (kakaru) [communication]
"n5_v_164" :  : かける (kakeru) [communication]
"n5_v_165" :  : カメラ (kamera) [communication]
"n5_v_166" :  : ニュース (nyuusu) [communication]
"n5_v_167" :  : フィルム (firumu) [communication]
"n5_v_168" :  : 写真 (shashin) [communication]
"n5_v_169" :  : 呼ぶ (yobu) [communication]
"n5_v_170" :  : 字 (ji) [communication]
"n5_v_171" :  : 撮る (toru) [communication]
"n5_v_172" :  : 新聞 (shinbun) [communication]
"n5_v_173" :  : 番号 (bangou) [communication]
"n5_v_174" :  : 答える (kotaeru) [communication]
"n5_v_175" :  : 聞く (kiku) [communication]
"n5_v_176" :  : 言う (iu) [communication]
"n5_v_177" :  : 話す (hanasu) [communication]
"n5_v_178" :  : 電話 (denwa) [communication]
"n5_v_179" :  : いくら (ikura) [achats_argent]
"n5_v_180" :  : お金 (okane) [achats_argent]
"n5_v_181" :  : する (suru) [achats_argent]
"n5_v_182" :  : デパート (depaato) [achats_argent]
"n5_v_183" :  : 低い (hikui) [achats_argent]
"n5_v_184" :  : 売る (uru) [achats_argent]
"n5_v_185" :  : 安い (yasui) [achats_argent]
"n5_v_186" :  : 店 (mise) [achats_argent]
"n5_v_187" :  : 買う (kau) [achats_argent]
"n5_v_188" :  : 高い (takai) [achats_argent]
"n5_v_189" :  : ギター (gitaa) [loisirs]
"n5_v_190" :  : スポーツ (supootsu) [loisirs]
"n5_v_191" :  : マッチ (macchi) [loisirs]
"n5_v_192" :  : 弾く (hiku) [loisirs]
"n5_v_193" :  : 散歩 (sanpo) [loisirs]
"n5_v_194" :  : 散歩する (sanposuru) [loisirs]
"n5_v_195" :  : 旅行 (ryokou) [loisirs]
"n5_v_196" :  : 映画 (eiga) [loisirs]
"n5_v_197" :  : 歌う (utau) [loisirs]
"n5_v_198" :  : 泳ぐ (oyogu) [loisirs]
"n5_v_199" :  : 遊ぶ (asobu) [loisirs]
"n5_v_200" :  : 音楽 (ongaku) [loisirs]
"n5_v_201" :  : 鳴く (naku) [loisirs]
"n5_v_201" :  : 鳴く (naku) [loisirs]
"n5_v_202" :  : エレベーター (erebeetaa) [medias_technologie]
"n5_v_203" :  : テレビ (terebi) [medias_technologie]
"n5_v_204" :  : テープ (teepu) [medias_technologie]
"n5_v_205" :  : ラジオ (rajio) [medias_technologie]
"n5_v_206" :  : ラジカセ (rajikase) [medias_technologie]
"n5_v_207" :  : いす (isu) [maison_quotidien]
"n5_v_208" :  : お風呂 (ofuro) [maison_quotidien]
"n5_v_209" :  : ふろ (furo) [maison_quotidien]
"n5_v_210" :  : ドア (doa) [maison_quotidien]
"n5_v_211" :  : ナイフ (naifu) [maison_quotidien]
"n5_v_212" :  : ベッド (beddo) [maison_quotidien]
"n5_v_213" :  : 入る (hairu) [maison_quotidien]
"n5_v_214" :  : 入口 (iriguchi) [maison_quotidien]
"n5_v_215" :  : 公園 (kouen) [maison_quotidien]
"n5_v_216" :  : 宿題 (shukudai) [maison_quotidien]
"n5_v_217" :  : 庭 (niwa) [maison_quotidien]
"n5_v_218" :  : 戸 (to) [maison_quotidien]
"n5_v_219" :  : 掃除 (souji) [maison_quotidien]
"n5_v_220" :  : 掃除する (soujisuru) [maison_quotidien]
"n5_v_221" :  : 洗う (arau) [maison_quotidien]
"n5_v_222" :  : 窓 (mado) [maison_quotidien]
"n5_v_223" :  : 財布 (saifu) [maison_quotidien]
"n5_v_224" :  : 部屋 (heya) [maison_quotidien]
"n5_v_225" :  : お皿 (osara) [maison_quotidien]
"n5_v_226" :  : かぎ (kagi) [maison_quotidien]
"n5_v_227" :  : かばん (kaban) [maison_quotidien]
"n5_v_228" :  : せっけん (sekken) [maison_quotidien]
"n5_v_229" :  : ちり紙 (chirigami) [maison_quotidien]
"n5_v_230" :  : コップ (koppu) [maison_quotidien]
"n5_v_231" :  : スプーン (supuun) [maison_quotidien]
"n5_v_232" :  : フォーク (fooku) [maison_quotidien]
"n5_v_233" :  : ポスト (posuto) [maison_quotidien]
"n5_v_234" :  : 傘 (kasa) [maison_quotidien]
"n5_v_235" :  : 石鹸 (sekken) [maison_quotidien]
"n5_v_236" :  : 箱 (hako) [maison_quotidien]
"n5_v_237" :  : 紙 (kami) [maison_quotidien]
"n5_v_238" :  : 鍵 (kagi) [maison_quotidien]
"n5_v_239" :  : 交差点 (kousaten) [maison_quotidien]
"n5_v_240" :  : 交番 (kouban) [maison_quotidien]
"n5_v_241" :  : 出口 (deguchi) [maison_quotidien]
"n5_v_242" :  : 図書館 (toshokan) [maison_quotidien]
"n5_v_243" :  : 国 (kuni) [maison_quotidien]
"n5_v_244" :  : 大使館 (taishikan) [maison_quotidien]
"n5_v_245" :  : 帰国 (kikoku) [maison_quotidien]
"n5_v_246" :  : 建物 (tatemono) [maison_quotidien]
"n5_v_247" :  : 本棚 (hondana) [maison_quotidien]
"n5_v_248" :  : 玄関 (genkan) [maison_quotidien]
"n5_v_249" :  : 町 (machi) [maison_quotidien]
"n5_v_250" :  : 銀行 (ginkou) [maison_quotidien]
"n5_v_251" :  : ペット (petto) [nature_animaux]
"n5_v_252" :  : 動物 (doubutsu) [nature_animaux]
"n5_v_253" :  : 山 (yama) [nature_animaux]
"n5_v_254" :  : 木 (ki) [nature_animaux]
"n5_v_255" :  : 村 (mura) [lieux]
"n5_v_256" :  : 海 (umi) [nature_animaux]
"n5_v_257" :  : 犬 (inu) [nature_animaux]
"n5_v_258" :  : 猫 (neko) [nature_animaux]
"n5_v_259" :  : 登る (noboru) [nature_animaux]
"n5_v_260" :  : 空 (sora) [nature_animaux]
"n5_v_261" :  : 花 (hana) [nature_animaux]
"n5_v_262" :  : 鳥 (tori) [nature_animaux]
"n5_v_263" :  : くもり (kumori) [meteo_saisons]
"n5_v_264" :  : 冬 (fuyu) [meteo_saisons]
"n5_v_265" :  : 冷たい (tsumetai) [meteo_saisons]
"n5_v_266" :  : 吹く (fuku) [meteo_saisons]
"n5_v_267" :  : 夏 (natsu) [meteo_saisons]
"n5_v_268" :  : 夏休み (natsuyasumi) [meteo_saisons]
"n5_v_269" :  : 天気 (tenki) [meteo_saisons]
"n5_v_270" :  : 寒い (samui) [meteo_saisons]
"n5_v_271" :  : 春 (haru) [meteo_saisons]
"n5_v_272" :  : 晴れ (hare) [meteo_saisons]
"n5_v_273" :  : 晴れる (hareru) [meteo_saisons]
"n5_v_274" :  : 暑い (atsui) [meteo_saisons]
"n5_v_275" :  : 暖かい (atatakai) [meteo_saisons]
"n5_v_276" :  : 曇り (kumori) [meteo_saisons]
"n5_v_277" :  : 熱い (atsui) [meteo_saisons]
"n5_v_278" :  : 秋 (aki) [meteo_saisons]
"n5_v_279" :  : 降る (furu) [meteo_saisons]
"n5_v_280" :  : 雨 (ame) [meteo_saisons]
"n5_v_281" :  : 雪 (yuki) [meteo_saisons]
"n5_v_282" :  : 風 (kaze) [meteo_saisons]
"n5_v_283" :  : 風邪 (kaze) [meteo_saisons]
"n5_v_284" :  : あさって (asatte) [temps_calendrier]
"n5_v_285" :  : おととし (ototoshi) [temps_calendrier]
"n5_v_286" :  : さ来年 (sarainen) [temps_calendrier]
"n5_v_287" :  : カレンダー (karendaa) [temps_calendrier]
"n5_v_288" :  : 一日 (ichinichi) [temps_calendrier]
"n5_v_289" :  : 一昨年 (ototoshi) [temps_calendrier]
"n5_v_290" :  : 一昨日 (ototoi) [temps_calendrier]
"n5_v_291" :  : 一月 (hitotsuki) [temps_calendrier]
"n5_v_292" :  : 七日 (nanoka) [temps_calendrier]
"n5_v_293" :  : 三日 (mikka) [temps_calendrier]
"n5_v_294" :  : 九日 (kokonoka) [temps_calendrier]
"n5_v_295" :  : 二十日 (hatsuka) [temps_calendrier]
"n5_v_296" :  : 二日 (futsuka) [temps_calendrier]
"n5_v_297" :  : 五日 (itsuka) [temps_calendrier]
"n5_v_298" :  : 今 (ima) [temps_calendrier]
"n5_v_299" :  : 今年 (kotoshi) [temps_calendrier]
"n5_v_300" :  : 今日 (kyou) [temps_calendrier]
"n5_v_301" :  : 今晩 (konban) [temps_calendrier]
"n5_v_302" :  : 今月 (kongetsu) [temps_calendrier]
"n5_v_303" :  : 今朝 (kesa) [temps_calendrier]
"n5_v_304" :  : 今週 (konshuu) [temps_calendrier]
"n5_v_305" :  : 先月 (sengetsu) [temps_calendrier]
"n5_v_306" :  : 先週 (senshuu) [temps_calendrier]
"n5_v_307" :  : 八日 (youka) [temps_calendrier]
"n5_v_308" :  : 六日 (muika) [temps_calendrier]
"n5_v_309" :  : 十日 (tooka) [temps_calendrier]
"n5_v_310" :  : 午前 (gozen) [temps_calendrier]
"n5_v_311" :  : 半 (han) [temps_calendrier]
"n5_v_312" :  : 去年 (kyonen) [temps_calendrier]
"n5_v_313" :  : 四日 (yokka) [temps_calendrier]
"n5_v_314" :  : 土曜日 (doyoubi) [temps_calendrier]
"n5_v_315" :  : 夜 (yoru) [temps_calendrier]
"n5_v_316" :  : 年 (toshi) [temps_calendrier]
"n5_v_317" :  : 日曜日 (nichiyoubi) [temps_calendrier]
"n5_v_318" :  : 明日 (ashita) [temps_calendrier]
"n5_v_319" :  : 昨夜 (yuube) [temps_calendrier]
"n5_v_320" :  : 昨日 (kinou) [temps_calendrier]
"n5_v_321" :  : 時間 (jikan) [temps_calendrier]
"n5_v_322" :  : 晩 (ban) [temps_calendrier]
"n5_v_323" :  : 月曜日 (getsuyoubi) [temps_calendrier]
"n5_v_324" :  : 朝 (asa) [temps_calendrier]
"n5_v_325" :  : 木曜日 (mokuyoubi) [temps_calendrier]
"n5_v_326" :  : 来年 (rainen) [temps_calendrier]
"n5_v_327" :  : 来月 (raigetsu) [temps_calendrier]
"n5_v_328" :  : 来週 (raishuu) [temps_calendrier]
"n5_v_329" :  : 毎年 (maitoshi / mainen) [temps_calendrier]
"n5_v_330" :  : 毎日 (mainichi) [temps_calendrier]
"n5_v_331" :  : 毎晩 (maiban) [temps_calendrier]
"n5_v_332" :  : 毎月 (maitsuki / maigetsu) [temps_calendrier]
"n5_v_333" :  : 毎朝 (maiasa) [temps_calendrier]
"n5_v_334" :  : 毎週 (maishuu) [temps_calendrier]
"n5_v_335" :  : 水曜日 (suiyoubi) [temps_calendrier]
"n5_v_336" :  : 火曜日 (kayoubi) [temps_calendrier]
"n5_v_337" :  : 誕生日 (tanjoubi) [temps_calendrier]
"n5_v_338" :  : 金曜日 (kinyoubi) [temps_calendrier]
"n5_v_339" :  : こちら (kochira) [position_direction]
"n5_v_340" :  : そちら (sochira) [position_direction]
"n5_v_341" :  : そば (soba) [position_direction]
"n5_v_342" :  : それ (sore) [position_direction]
"n5_v_343" :  : どっち (docchi) [position_direction]
"n5_v_344" :  : はい (hai) [position_direction]
"n5_v_345" :  : 上 (ue) [position_direction]
"n5_v_346" :  : 中 (naka) [position_direction]
"n5_v_347" :  : 先 (saki) [position_direction]
"n5_v_348" :  : 前 (mae) [position_direction]
"n5_v_349" :  : 北 (kita) [position_direction]
"n5_v_350" :  : 南 (minami) [position_direction]
"n5_v_351" :  : 右 (migi) [position_direction]
"n5_v_352" :  : 外 (soto) [position_direction]
"n5_v_353" :  : 左 (hidari) [position_direction]
"n5_v_354" :  : 後ろ (ushiro) [position_direction]
"n5_v_355" :  : 東 (higashi) [position_direction]
"n5_v_356" :  : 横 (yoko) [position_direction]
"n5_v_357" :  : 西 (nishi) [position_direction]
"n5_v_358" :  : 角 (kado) [position_direction]
"n5_v_359" :  : 近々 (chikajika) [position_direction]
"n5_v_360" :  : 近い (chikai) [position_direction]
"n5_v_361" :  : 違う (chigau) [position_direction]
"n5_v_362" :  : 遠い (tooi) [position_direction]
"n5_v_363" :  : キロ (kiro) [nombres_quantites]
"n5_v_364" :  : キログラム (kirogramu) [nombres_quantites]
"n5_v_365" :  : ゼロ (zero) [nombres_quantites]
"n5_v_366" :  : メートル (meetoru) [nombres_quantites]
"n5_v_367" :  : 一 (ichi) [nombres_quantites]
"n5_v_368" :  : 一つ (hitotsu) [nombres_quantites]
"n5_v_369" :  : 七 (shichi / nana) [nombres_quantites]
"n5_v_370" :  : 七つ (nanatsu) [nombres_quantites]
"n5_v_371" :  : 万 (man) [nombres_quantites]
"n5_v_372" :  : 三 (san) [nombres_quantites]
"n5_v_373" :  : 三つ (mittsu) [nombres_quantites]
"n5_v_374" :  : 九 (kyuu / ku) [nombres_quantites]
"n5_v_375" :  : 九つ (kokonotsu) [nombres_quantites]
"n5_v_376" :  : 二 (ni) [nombres_quantites]
"n5_v_377" :  : 二つ (futatsu) [nombres_quantites]
"n5_v_378" :  : 五 (go) [nombres_quantites]
"n5_v_379" :  : 五つ (itsutsu) [nombres_quantites]
"n5_v_380" :  : 八 (hachi) [nombres_quantites]
"n5_v_381" :  : 八つ (yattsu) [nombres_quantites]
"n5_v_382" :  : 六 (roku) [nombres_quantites]
"n5_v_383" :  : 六つ (muttsu) [nombres_quantites]
"n5_v_384" :  : 十 (juu) [nombres_quantites]
"n5_v_385" :  : 千 (sen) [nombres_quantites]
"n5_v_386" :  : 四 (shi / yon) [nombres_quantites]
"n5_v_387" :  : 四つ (yottsu) [nombres_quantites]
"n5_v_388" :  : 百 (hyaku) [nombres_quantites]
"n5_v_389" :  : 零 (rei) [nombres_quantites]
"n5_v_390" :  : いかが (ikaga) [questions]
"n5_v_391" :  : いつ (itsu) [questions]
"n5_v_392" :  : そこ (soko) [questions]
"n5_v_393" :  : どう (dou) [questions]
"n5_v_394" :  : どうして (doushite) [questions]
"n5_v_395" :  : どこ (doko) [questions]
"n5_v_396" :  : どちら (dochira) [questions]
"n5_v_397" :  : どなた (donata) [questions]
"n5_v_398" :  : どの (dono) [questions]
"n5_v_399" :  : どれ (dore) [questions]
"n5_v_400" :  : なぜ (naze) [questions]
"n5_v_401" :  : 何 (nan / nani) [questions]
"n5_v_402" :  : 誰 (dare) [questions]
"n5_v_403" :  : あそこ (asoko) [pronoms_demonstratifs]
"n5_v_404" :  : あちら (achira) [pronoms_demonstratifs]
"n5_v_405" :  : あっち (acchi) [pronoms_demonstratifs]
"n5_v_406" :  : あの (ano) [pronoms_demonstratifs]
"n5_v_407" :  : あれ (are) [pronoms_demonstratifs]
"n5_v_408" :  : ここ (koko) [pronoms_demonstratifs]
"n5_v_409" :  : こっち (kochi) [pronoms_demonstratifs]
"n5_v_410" :  : この (kono) [pronoms_demonstratifs]
"n5_v_411" :  : これ (kore) [pronoms_demonstratifs]
"n5_v_412" :  : こんな (konna) [pronoms_demonstratifs]
"n5_v_413" :  : じゃあ (jaa) [pronoms_demonstratifs]
"n5_v_414" :  : そっち (sochi) [pronoms_demonstratifs]
"n5_v_415" :  : その (sono) [pronoms_demonstratifs]
"n5_v_416" :  : それから (sorekara) [pronoms_demonstratifs]
"n5_v_417" :  : それでは (soredewa) [pronoms_demonstratifs]
"n5_v_418" :  : では (dewa) [pronoms_demonstratifs]
"n5_v_419" :  : 向こう (mukou) [pronoms_demonstratifs]
"n5_v_420" :  : いい / 良い (ii / yoi) [descriptions_qualites]
"n5_v_421" :  : いろいろ (iroiro) [descriptions_qualites]
"n5_v_422" :  : うるさい (urusai) [descriptions_qualites]
"n5_v_423" :  : かわいい (kawaii) [descriptions_qualites]
"n5_v_424" :  : きれい (kirei) [descriptions_qualites]
"n5_v_425" :  : だんだん (dandan) [descriptions_qualites]
"n5_v_426" :  : つまらない (tsumaranai) [descriptions_qualites]
"n5_v_427" :  : まずい (mazui) [descriptions_qualites]
"n5_v_428" :  : 丈夫 (joubu) [descriptions_qualites]
"n5_v_429" :  : 上手 (jouzu) [descriptions_qualites]
"n5_v_430" :  : 下手 (heta) [descriptions_qualites]
"n5_v_431" :  : 丸い (marui) [descriptions_qualites]
"n5_v_432" :  : 便利 (benri) [descriptions_qualites]
"n5_v_433" :  : 元気 (genki) [descriptions_qualites]
"n5_v_434" :  : 危ない (abunai) [descriptions_qualites]
"n5_v_435" :  : 厚い (atsui) [descriptions_qualites]
"n5_v_436" :  : 古い (furui) [descriptions_qualites]
"n5_v_437" :  : 可愛い (kawaii) [descriptions_qualites]
"n5_v_438" :  : 同じ (onaji) [descriptions_qualites]
"n5_v_439" :  : 夕方 (yuugata) [descriptions_qualites]
"n5_v_440" :  : 大きい (ookii) [descriptions_qualites]
"n5_v_441" :  : 大きな (ookina) [descriptions_qualites]
"n5_v_442" :  : 大切 (taisetsu) [descriptions_qualites]
"n5_v_443" :  : 太い (futoi) [descriptions_qualites]
"n5_v_444" :  : 好き (suki) [descriptions_qualites]
"n5_v_445" :  : 小さい (chiisai) [descriptions_qualites]
"n5_v_446" :  : 小さな (chiisana) [descriptions_qualites]
"n5_v_447" :  : 少ない (sukunai) [descriptions_qualites]
"n5_v_448" :  : 広い (hiroi) [descriptions_qualites]
"n5_v_449" :  : 弱い (yowai) [descriptions_qualites]
"n5_v_450" :  : 弱く (yowaku) [descriptions_qualites]
"n5_v_451" :  : 強い (tsuyoi) [descriptions_qualites]
"n5_v_452" :  : 悪い (warui) [descriptions_qualites]
"n5_v_453" :  : 新しい (atarashii) [descriptions_qualites]
"n5_v_454" :  : 早い (hayai) [descriptions_qualites]
"n5_v_455" :  : 明るい (akarui) [descriptions_qualites]
"n5_v_456" :  : 易しい (yasashii) [descriptions_qualites]
"n5_v_457" :  : 暇 (hima) [descriptions_qualites]
"n5_v_458" :  : 有名 (yuumei) [descriptions_qualites]
"n5_v_459" :  : 朝ご飯 (asagohan) [descriptions_qualites]
"n5_v_460" :  : 朝御飯 (asagohan) [descriptions_qualites]
"n5_v_461" :  : 汚い (kitanai) [descriptions_qualites]
"n5_v_462" :  : 清い (kiyoi) [descriptions_qualites]
"n5_v_463" :  : 狭い (semai) [descriptions_qualites]
"n5_v_464" :  : 甘い (amai) [descriptions_qualites]
"n5_v_465" :  : 痛い (itai) [descriptions_qualites]
"n5_v_466" :  : 白 (shiro) [descriptions_qualites]
"n5_v_467" :  : 白い (shiroi) [descriptions_qualites]
"n5_v_468" :  : 短い (mijikai) [descriptions_qualites]
"n5_v_469" :  : 細い (hosoi) [descriptions_qualites]
