N5 Rencontrer : 会う , あう, (Au)
N5 Insérer : 入れる , いれる, (Ireru)
N5 Entrée : 入口 , いりぐち, (Iriguchi)
N5 Être : 居る , いる, (Iru)
N5 Avoir besoin de : 要る , いる, (Iru)
N5 Couleur : 色 , いろ, (Iro)
N5 Divers : いろいろ , いろいろ, (Iroiro)
N5 Au-dessus : 上 , うえ, (Ue)
N5 Derrière : 後ろ , うしろ, (Ushiro)
N5 Mince : 薄い , うすい, (Usui)
N5 Chanson : 歌 , うた, (Uta)
N5 Chanter : 歌う , うたう, (Utau)
N5 Naître : 生まれる , うまれる, (Umareru)
N5 Mer : 海 , うみ, (Umi)
N5 Vendre : 売る , うる, (Uru)
N5 Bruyant : うるさい , うるさい, (Urusai)
N5 Veste : 上着 , うわぎ, (Uwagi)
N5 Dessin : 絵 , え, (E)
N5 Film : 映画 , えいが, (Eiga)
N5 Cinéma : 映画館 , えいがかん, (Eigakan)
N5 Anglais : 英語 , えいご, (Eigo)
N5 Oui : ええ , ええ, (Ee)
N5 Gare : 駅 , えき, (Eki)
N5 Ascenseur : エレベーター , エレベーター, (Erebeetaa)
N5 Crayon : 鉛筆 , えんぴつ, (Enpitsu)
N5 Délicieux : 美味しい , おいしい, (Oishii)
N5 Grand : 大きい , おおきい, (Ookii)
N5 Beaucoup de monde : 大勢 , おおぜい, (Oozei)
N5 Mère : お母さん , おかあさん, (Okaasan)
N5 Friandises : お菓子 , おかし, (Okashi)
N5 Argent : お金 , おかね, (Okane)
N5 Se réveiller : 起きる , おきる, (Okiru)
N5 Poser : 置く , おく, (Oku)
N5 Épouse : 奥さん , おくさん, (Okusan)
N5 Alcool : お酒 , おさけ, (Osake)
N5 Assiette : お皿 , おさら, (Osara)
N5 Oncle : おじさん , おじさん, (Ojisan)
N5 Grand-père : おじいさん , おじいさん, (Ojiisan)
N5 Enseigner : 教える , おしえる, (Oshieru)
N5 Pousser : 押す , おす, (Osu)
N5 Lent : 遅い , おそい, (Osoi)
N5 Thé vert : お茶 , おちゃ, (Ocha)
N5 Toilettes : お手洗い , おてあらい, (Otearai)
N5 Père : お父さん , おとうさん, (Otousan)
N5 Petit frère : 弟 , おとうと, (Otouto)
N5 Homme : 男 , おとこ, (Otoko)
N5 Garçon : 男の子 , おとこのこ, (Otokonoko)
N5 L'année dernière : おととし , おととし, (Ototoshi)
N5 L'année dernière : 去年 , きょねん, (Kyonen)
N5 Avant-hier : 一昨日 , おととい, (Ototoi)
N5 L'année d'avant : 一昨年 , おととし, (Ototoshi)
N5 Adulte : 大人 , おとな, (Otona)
N5 Ventre : お腹 , おなか, (Onaka)
N5 Même : 同じ , おなじ, (Onaji)
N5 Grand frère : お兄さん , おにいさん, (Oniisan)
N5 Grande sœur : お姉さん , おねえさん, (Oneesan)
N5 Tante : おばさん , おばさん, (Obasan)
N5 Grand-mère : おばあさん , おばあさん, (Obaasan)
N5 Bain : お風呂 , おふろ, (Ofuro)
N5 Bento : お弁当 , おべんとう, (Obentou)
N5 Mémoriser : 覚える , おぼえる, (Oboeru)
N5 Agent de police : おまわりさん , おまわりさん, (Omawarisan)
N5 Lourd : 重い , おもい, (Omoi)
N5 Intéressant : 面白い , おもしろい, (Omoshiroi)
N5 Nager : 泳ぐ , およぐ, (Oyogu)
N5 Descendre : 降りる , おりる, (Oriru)
N5 Finir : 終わる , おわる, (Owaru)
N5 Musique : 音楽 , おんがく, (Ongaku)
N5 Femme : 女 , おんな, (Onna)
N5 Fille : 女の子 , おんなのこ, (Onnanoko)
N5 Pays étranger : 外国 , がいこく, (Gaikoku)
N5 Étranger : 外国人 , がいこくじん, (Gaikokujin)
N5 Entreprise : 会社 , かいしゃ, (Kaisha)
N5 Escalier : 階段 , かいだん, (Kaidan)
N5 Achats : 買い物 , かいもの, (Kaimono)
N5 Acheter : 買う , かう, (Kau)
N5 Rendre : 返す , かえす, (Kaesu)
N5 Changer : 変える , かえる, (Kaeru)
N5 Rentrer : 帰る , かえる, (Kaeru)
N5 Visage : 顔 , かお, (Kao)
N5 Prendre (du temps ou de l'argent) : かかる , かかる, (Kakaru)
N5 Clé : 鍵 , かぎ, (Kagi)
N5 Écrire : 書く , かく, (Kaku)
N5 Étudiant : 学生 , がくせい, (Gakusei)
N5 Parapluie : 傘 , かさ, (Kasa)
N5 Prêter : 貸す , かす, (Kasu)
N5 Vent : 風 , かぜ, (Kaze)
N5 Rhume : 風邪 , かぜ, (Kaze)
N5 Famille : 家族 , かぞく, (Kazoku)
N5 Personne : 方 , かた, (Kata)
N5 École : 学校 , がっこう, (Gakkou)
N5 Coin : 角 , かど, (Kado)
N5 Ma femme : 家内 , かない, (Kanai)
N5 Sac : 鞄 , かばん, (Kaban)
N5 Vase : 花瓶 , かびん, (Kabin)
N5 Papier : 紙 , かみ, (Kami)
N5 Cheveux : 髪 , かみ, (Kami)
N5 Appareil photo : カメラ , カメラ, (Kamera)
N5 Mardi : 火曜日 , かようび, (Kayoubi)
N5 Épicé : 辛い , からい, (Karai)
N5 Corps : 体 , からだ, (Karada)
N5 Emprunter : 借りる , かりる, (Kariru)
N5 Léger : 軽い , かるい, (Karui)
N5 Calendrier : カレンダー , カレンダー, (Karendaa)
N5 Rivière : 川 , かわ, (Kawa)
N5 Mignon : 可愛い , かわいい, (Kawaii)
N5 Kanji : 漢字 , かんじ, (Kanji)
N5 Arbre : 木 , き, (Ki)
N5 Jaune : 黄色い , きいろい, (Kiiroi)
N5 S'éteindre : 消える , きえる, (Kieru)
N5 Écouter : 聞く , きく, (Kiku)
N5 Nord : 北 , きた, (Kita)
N5 Guitare : ギター , ギター, (Gitaa)
N5 Sale : 汚い , きたない, (Kitanai)
N5 Café : 喫茶店 , きっさてん, (Kissaten)
N5 Timbre postal : 切手 , きって, (Kitte)
N5 Billet : 切符 , きっぷ, (Kippu)
N5 Hier : 昨日 , きのう, (Kinou)
N5 Neuf : 九 , きゅう, (Kyuu)
N5 Viande de bœuf : 牛肉 , ぎゅうにく, (Gyuuniku)
N5 Lait de vache : 牛乳 , ぎゅうにゅう, (Gyuunyuu)
N5 Aujourd'hui : 今日 , きょう, (Kyou)
N5 Classe : 教室 , きょうしつ, (Kyoushitsu)
N5 Frères et sœurs : 兄弟 , きょうだい, (Kyoudai)
N5 Couper : 切る , きる, (Kiru)
N5 Porter : 着る , きる, (Kiru)
N5 Joli : 綺麗 , きれい, (Kirei)
N5 Kilo : キロ / キログラム , キロ / キログラム, (Kiro / kirogramu)
N5 Kilomètre : キロ / キロメートル , キロ / キロメートル, (Kiro / kiromeetoru)
N5 Banque : 銀行 , ぎんこう, (Ginkou)
N5 Vendredi : 金曜日 , きんようび, (Kinyoubi)
N5 Médicament : 薬 , くすり, (Kusuri)
N5 Donnez-moi s'il vous plaît : ください , ください, (Kudasai)
N5 Fruit : 果物 , くだもの, (Kudamono)
N5 Bouche : 口 , くち, (Kuchi)
N5 Chaussures : 靴 , くつ, (Kutsu)
N5 Chaussettes : 靴下 , くつした, (Kutsushita)
N5 Pays : 国 , くに, (Kuni)
N5 Temps nuageux : 曇り , くもり, (Kumori)
N5 Se couvrir : 曇る , くもる, (Kumoru)
N5 Sombre : 暗い , くらい, (Kurai)
N5 Classe : クラス , クラス, (Kurasu)
N5 Gramme : グラム , グラム, (Guramu)
N5 Le mois prochain : 来月 , らいげつ, (Raigetsu)
N5 La semaine prochaine : 来週 , らいしゅう, (Raishuu)
N5 L'année prochaine : 来年 , らいねん, (Rainen)
N5 Radio : ラジオ , ラジオ, (Rajio)
N5 Radio-cassette : ラジカセ , ラジカセ, (Rajikase)
N5 Retour au pays : 帰国 , きこく, (Kikoku)
N5 Mettre : 履く , はく, (Haku)
N5 Enlever : 脱ぐ , ぬぐ, (Nugu)
N5 Pur : 清い , きよい, (Kiyoi)
N5 Kilo : キロ , キロ, (Kiro)
N5 Hier soir : 昨夜 , ゆうべ, (Yuube)
N5 Célèbre : 有名 , ゆうめい, (Yuumei)
N5 Bureau de poste : 郵便局 , ゆうびんきょく, (Yuubinkyoku)
N5 Fin d'après-midi : 夕方 , ゆうがた, (Yuugata)
N5 Repas du soir : 夕飯 , ゆうはん, (Yuuhan)
N5 Neige : 雪 , ゆき, (Yuki)
N5 Lentement : ゆっくり , ゆっくり, (Yukkuri)
N5 8 jours : 八日 , ようか, (Youka)
N5 Vêtements occidentaux : 洋服 , ようふく, (Youfuku)
N5 Jardin d'enfants : 幼稚園 , ようちえん, (Youchien)
N5 Souvent : よく , よく, (Yoku)
N5 Côté : 横 , よこ, (Yoko)
N5 4 jours : 四日 , よっか, (Yokka)
N5 Appeler : 呼ぶ , よぶ, (Yobu)
N5 Lire : 読む , よむ, (Yomu)
N5 Nuit : 夜 , よる, (Yoru)
N5 Faiblement : 弱く , よわく, (Yowaku)
N5 Faible : 弱い , よわい, (Yowai)
N5 Étudiant étranger : 留学生 , りゅうがくせい, (Ryuugakusei)
N5 Parents : 両親 , りょうしん, (Ryoushin)
N5 Cuisine : 料理 , りょうり, (Ryouri)
N5 Voyage : 旅行 , りょこう, (Ryokou)
N5 Zéro : 零 , れい, (Rei)
N5 Réfrigérateur : 冷蔵庫 , れいぞうこ, (Reizouko)
N5 Disque vinyle : レコード , レコード, (Rekoodo)
N5 Restaurant : レストラン , レストラン, (Resutoran)
N5 Entraînement : 練習 , れんしゅう, (Renshuu)
N5 Couloir : 廊下 , ろうか, (Rouka)
N5 Six : 六 , ろく, (Roku)
N5 6 jours : 六日 , むいか, (Muika)
N5 Chemise : ワイシャツ , ワイシャツ, (Waishatsu)
N5 Jeune : 若い , わかい, (Wakai)
N5 Comprendre : 分かる , わかる, (Wakaru)
N5 Oublier : 忘れる , わすれる, (Wasureru)
N5 Je : 私 , わたし, (Watashi)
N5 Remettre : 渡す , わたす, (Watasu)
N5 Traverser : 渡る , わたる, (Wataru)
N5 Mauvais : 悪い , わるい, (Warui)
N5 Grand : 大きな , おおきな, (Ookina)
N5 Oncle : 叔父 / 伯父 , おじさん, (Ojisan)
N5 Tante : 叔母 / 伯母 , おばさん, (Obasan)
N5 Tasse : カップ , カップ, (Kappu)
N5 Foyer : 家庭 , かてい, (Katei)
N5 Corps : 身体 , からだ, (Karada)
N5 Curry : カレー , カレー, (Karee)
N5 Joli : きれい , きれい, (Kirei)
N5 Fruit : くだもの , くだもの, (Kudamono)
N5 Voiture : 車 , くるま, (Kuruma)
N5 Noir : 黒い , くろい, (Kuroi)
N5 Policier : 警官 , けいかん, (Keikan)
N5 Ce matin : 今朝 , けさ, (Kesa)
N5 Éteindre : 消す , けす, (Kesu)
N5 Assez : 結構 , けっこう, (Kekkou)
N5 Mariage : 結婚 , けっこん, (Kekkon)
N5 Lundi : 月曜日 , げつようび, (Getsuyoubi)
N5 Entrée : 玄関 , げんかん, (Genkan)
N5 En forme : 元気 , げんき, (Genki)
N5 Parc : 公園 , こうえん, (Kouen)
N5 Carrefour : 交差点 , こうさてん, (Kousaten)
N5 Thé noir : 紅茶 , こうちゃ, (Koucha)
N5 Poste de police : 交番 , こうばん, (Kouban)
N5 Voix : 声 , こえ, (Koe)
N5 Manteau : コート , コート, (Kooto)
N5 Café : コーヒー , コーヒー, (Koohii)
N5 Ici : ここ , ここ, (Koko)
N5 Après-midi : 午後 , ごご, (Gogo)
N5 9 jours : 九日 , ここのか, (Kokonoka)
N5 Neuf (objets) : 九つ , ここのつ, (Kokonotsu)
N5 Matin : 午前 , ごぜん, (Gozen)
N5 Répondre : 答える , こたえる, (Kotaeru)
N5 Par ici : こちら , こちら, (Kochira)
N5 Verre : コップ , コップ, (Koppu)
N5 Cette année : 今年 , ことし, (Kotoshi)
N5 Mot : 言葉 , ことば, (Kotoba)
N5 Enfant : 子供 , こども, (Kodomo)
N5 Ce / Cette / Ces : この , この, (Kono)
N5 Riz cuit : ご飯 , ごはん, (Gohan)
N5 Photocopier : コピーする , コピーする, (Kopii suru)
N5 Avoir des ennuis : 困る , こまる, (Komaru)
N5 Ceci : これ , これ, (Kore)
N5 Ce mois-ci : 今月 , こんげつ, (Kongetsu)
N5 Cette semaine : 今週 , こんしゅう, (Konshuu)
N5 Ce genre de : こんな , こんな, (Konna)
N5 Ce soir : 今晩 , こんばん, (Konban)
N5 Voyons : さあ , さあ, (Saa)
N5 Portefeuille : 財布 , さいふ, (Saifu)
N5 Poisson : 魚 , さかな, (Sakana)
N5 D'abord : 先 , さき, (Saki)
N5 Fleurir : 咲く , さく, (Saku)
N5 Rédaction : 作文 , さくぶん, (Sakubun)
N5 Ouvrir (un parapluie) : 差す , さす, (Sasu)
N5 Magazine : 雑誌 , ざっし, (Zasshi)
N5 Sucre : 砂糖 , さとう, (Satou)
N5 Froid : 寒い , さむい, (Samui)
N5 Frais : さわやか , さわやか, (Sawayaka)
N5 Trois : 三 , さん, (San)
N5 Se promener : 散歩する , さんぽする, (Sanpo suru)
N5 Quatre : 四 , し, (Shi)
N5 Sel : 塩 , しお, (Shio)
N5 Mode de vie : 生活 , せいかつ, (Seikatsu)
N5 Temps : 時間 , じかん, (Jikan)
N5 Travail : 仕事 , しごと, (Shigoto)
N5 Dictionnaire : 辞書 , じしょ, (Jisho)
N5 Calme : 静か , しずか, (Shizuka)
N5 Sous : 下 , した, (Shita)
N5 Question : 質問 , しつもん, (Shitsumon)
N5 Vélo : 自転車 , じてんしゃ, (Jitensha)
N5 Automobile : 自動車 , じどうしゃ, (Jidousha)
N5 Mourir : 死ぬ , しぬ, (Shinu)
N5 Caractère : 字 , じ, (Ji)
N5 Soi-même : 自分 , じぶん, (Jibun)
N5 Se fermer : 閉まる , しまる, (Shimaru)
N5 Attacher : 締める , しめる, (Shimeru)
N5 Alors : じゃあ , じゃあ, (Jaa)
N5 Photo : 写真 , しゃしん, (Shashin)
N5 Chemise : シャツ , シャツ, (Shatsu)
N5 Douche : シャワー , シャワー, (Shawaa)
N5 Dix : 十 , じゅう, (Juu)
N5 Cours : 授業 , じゅぎょう, (Jugyou)
N5 Devoirs : 宿題 , しゅくだい, (Shukudai)
N5 Doué : 上手 , じょうず, (Jouzu)
N5 Solide : 丈夫 , じょうぶ, (Joubu)
N5 Sauce soja : 醤油 , しょうゆ, (Shouyu)
N5 Cantine : 食堂 , しょくどう, (Shokudou)
N5 Savoir : 知る , しる, (Shiru)
N5 Blanc : 白い , しろい, (Shiroi)
N5 Journal : 新聞 , しんぶん, (Shinbun)
N5 Mercredi : 水曜日 , すいようび, (Suiyoubi)
N5 Fumer : 吸う , すう, (Suu)
N5 Jupe : スカート , スカート, (Sukaato)
N5 Aimé : 好き , すき, (Suki)
N5 Peu nombreux : 少ない , すくない, (Sukunai)
N5 Tout de suite : すぐに , すぐに, (Suguni)
N5 Un peu : 少し , すこし, (Sukoshi)
N5 Frais : 涼しい , すずしい, (Suzushii)
N5 Poêle : ストーブ , ストーブ, (Sutoobu)
N5 Cuillère : スプーン , スプーン, (Supuun)
N5 Sport : スポーツ , スポーツ, (Supootsu)
N5 Pantalon : ズボン , ズボン, (Zubon)
N5 Habiter : 住む , すむ, (Sumu)
N5 Chaussons : スリッパ , スリッパ, (Surippa)
N5 Faire : する , する, (Suru)
N5 S'asseoir : 座る , すわる, (Suwaru)
N5 Taille : 背 , せ, (Se)
N5 Élève : 生徒 , せいと, (Seito)
N5 Pull-over : セーター , セーター, (Seetaa)
N5 Savon : 石鹸 , せっけん, (Sekken)
N5 Costume : 背広 , せびろ, (Sebiro)
N5 Étroit : 狭い , せまい, (Semai)
N5 Mille : 千 , せん, (Sen)
N5 Le mois dernier : 先月 , せんげつ, (Sengetsu)
N5 La semaine dernière : 先週 , せんしゅう, (Senshuu)
N5 Professeur : 先生 , せんせい, (Sensei)
N5 Lessive : 洗濯 , せんたく, (Sentaku)
N5 Nettoyer : 掃除する , そうじする, (Soujisuru)
N5 Et puis : そうして , そうして, (Soushite)
N5 Là : そこ , そこ, (Soko)
N5 Par là : そちら , そちら, (Sochira)
N5 Extérieur : 外 , そと, (Soto)
N5 Ce : その , その, (Sono)
N5 À côté : そば , そば, (Soba)
N5 Ciel : 空 , そら, (Sora)
N5 Cela : それ , それ, (Sore)
N5 Ensuite : それから , それから, (Sorekara)
N5 Alors : それでは , それでは, (Soredewa)
N5 En général : 大体 , だいたい, (Daitai)
N5 Ambassade : 大使館 , たいしかん, (Taishikan)
N5 Ça va : 大丈夫 , だいじょうぶ, (Daijoubu)
N5 Adorer : 大好き , だいすき, (Daisuki)
N5 Important : 大切 , たいせつ, (Taisetsu)
N5 Généralement : たいてい , たいてい, (Taitei)
N5 Cuisine : 台所 , だいどころ, (Daidokoro)
N5 Difficile : 大変 , たいへん, (Taihen)
N5 Haut : 高い , たかい, (Takai)
N5 Beaucoup : たくさん , たくさん, (Takusan)
N5 Taxi : タクシー , タクシー, (Takushii)
N5 Sortir : 出す , だす, (Dasu)
N5 Se lever : 立つ , たつ, (Tatsu)
N5 Bâtiment : 建物 , たてもの, (Tatemono)
N5 Amusant : 楽しい , たのしい, (Tanoshii)
N5 Demander : 頼む , たのむ, (Tanomu)
N5 Cigarette : たばこ , たばこ, (Tabako)
N5 Peut-être : たぶん , たぶん, (Tabun)
N5 Nourriture : 食べ物 , たべもの, (Tabemono)
N5 Manger : 食べる , たべる, (Taberu)
N5 Œuf : 卵 , たまご, (Tamago)
N5 Qui : 誰 , だれ, (Dare)
N5 Quelqu'un : 誰か , だれか, (Dareka)
N5 Anniversaire : 誕生日 , たんじょうび, (Tanjoubi)
N5 Graduellement : だんだん , だんだん, (Dandan)
N5 Petit : 小さい , ちいさい, (Chiisai)
N5 Petit : 小さな , ちいさな, (Chiisana)
N5 Bientôt : 近々 , ちかぢか, (Chikajika)
N5 Métro : 地下鉄 , ちかてつ, (Chikatetsu)
N5 Près : 近く , ちかく, (Chikaku)
N5 Être différent : 違う , ちがう, (Chigau)
N5 Proche : 近い , ちかい, (Chikai)
N5 Force : 力 , ちから, (Chikara)
N5 Papier hygiénique : ちり紙 , ちりがみ, (Chirigami)
N5 Arriver : 着く , つく, (Tsuku)
N5 Bureau : 机 , つくえ, (Tsukue)
N5 Fabriquer : 作る , つくる, (Tsukuru)
N5 Allumer : つける , つける, (Tsukeru)
N5 Travailler pour : 勤める , つとめる, (Tsutomeru)
N5 Ennuyeux : つまらない , つまらない, (Tsumaranai)
N5 Froid (au toucher) : 冷たい , つめたい, (Tsumetai)
N5 Fort : 強い , つよい, (Tsuyoi)
N5 Pêche : 釣り , つり, (Tsuri)
N5 Main : 手 , て, (Te)
N5 Ruban adhésif : テープ , テープ, (Teepu)
N5 Magnétophone : テープレコーダー , テープレコーダー, (Teepurekoodaa)
N5 Table : テーブル , テーブル, (Teeburu)
N5 Sortir : 出かける , でかける, (Dekakeru)
N5 Lettre : 手紙 , てがみ, (Tegami)
N5 Pouvoir : できる , できる, (Dekiru)
N5 Sortie : 出口 , でぐち, (Deguchi)
N5 Test : テスト , テスト, (Tesuto)
N5 Alors : では , では, (Dewa)
N5 Grand magasin : デパート , デパート, (Depaato)
N5 Mais : でも , でも, (Demo)
N5 Sortir : 出ます , でます, (Demasu)
N5 Télévision : テレビ , テレビ, (Terebi)
N5 Météo : 天気 , てんき, (Tenki)
N5 Électricité : 電気 , でんき, (Denki)
N5 Train électrique : 電車 , でんしゃ, (Densha)
N5 Téléphone : 電話 , でんわ, (Denwa)
N5 Porte (style japonais) : 戸 , と, (To)
N5 Porte : ドア , ドア, (Doa)
N5 Toilettes : トイレ , トイレ, (Toire)
N5 Comment : どう , どう, (Dou)
N5 Pourquoi : どうして , どうして, (Doushite)
N5 S'il vous plaît : どうぞ , どうぞ, (Douzo)
N5 Animal : 動物 , どうぶつ, (Doubutsu)
N5 Merci : どうも , どうも, (Doumo)
N5 Loin : 遠い , とおい, (Tooi)
N5 10 jours (durée) : 十日 , とおか, (Tooka)
N5 Parfois : 時々 , ときどき, (Tokidoki)
N5 Horloge : 時計 , とけい, (Tokei)
N5 Où : どこ , どこ, (Doko)
N5 Endroit : 所 , ところ, (Tokoro)
N5 Année : 年 , とし, (Toshi)
N5 Bibliothèque : 図書館 , としょかん, (Toshokan)
N5 Lequel (entre deux) : どちら , どちら, (Dochira)
N5 Lequel (familier) : どっち , どっち, (Docchi)
N5 Très : とても , とても, (Totemo)
N5 Qui (poli) : どなた , どなた, (Donata)
N5 À côté : 隣 , となり, (Tonari)
N5 Quel ... ? : どの , どの, (Dono)
N5 Voler : 飛ぶ , とぶ, (Tobu)
N5 S'arrêter : 止まる , とまる, (Tomaru)
N5 Ami : 友達 , ともだち, (Tomodachi)
N5 Samedi : 土曜日 , どようび, (Doyoubi)
N5 Oiseau : 鳥 , とり, (Tori)
N5 Viande de poulet : とり肉 , とりにく, (Toriniku)
N5 Prendre : 取る , とる, (Toru)
N5 Prendre (une photo) : 撮る , とる, (Toru)
N5 Lequel : どれ , どれ, (Dore)
N5 Couteau : ナイフ , ナイフ, (Naifu)
N5 Intérieur : 中 , なか, (Naka)
N5 Long : 長い , ながい, (Nagai)
N5 Crier (pour un animal) : 鳴く , なく, (Naku)
N5 Perdre (un objet) : 無くす , なくす, (Nakusu)
N5 Pourquoi : なぜ , なぜ, (Naze)
N5 Été : 夏 , なつ, (Natsu)
N5 Vacances d'été : 夏休み , なつやすみ, (Natsuyasumi)
N5 Sept (7 objets) : 七つ , ななつ, (Nanatsu)
N5 7 jours (durée) : 七日 , なのか, (Nanoka)
N5 Nom : 名前 , なまえ, (Namae)
N5 Apprendre (auprès d'un professeur) : 習う , ならう, (Narau)
N5 Faire la queue : 並ぶ , ならぶ, (Narabu)
N5 Aligner : 並べる , ならべる, (Naraberu)
N5 Devenir : なる , なる, (Naru)
N5 Quoi : 何 , なん / なに, (Nan / nani)
N5 Deux (2) : 二 , に, (Ni)
N5 Animé : 賑やか , にぎやか, (Nigiyaka)
N5 Viande : 肉 , にく, (Niku)
N5 Ouest : 西 , にし, (Nishi)
N5 Dimanche : 日曜日 , にちようび, (Nichiyoubi)
N5 Bagage : 荷物 , にもつ, (Nimotsu)
N5 Informations : ニュース , ニュース, (Nyuusu)
N5 Jardin : 庭 , にわ, (Niwa)
N5 Chaud (température agréable) : 温かい , あたたかい, (Atatakai)
N5 Cravate : ネクタイ , ネクタイ, (Nekutai)
N5 Chat : 猫 , ねこ, (Neko)
N5 Dormir : 寝る , ねる, (Neru)
N5 Cahier : ノート , ノート, (Nooto)
N5 Grimper : 登る , のぼる, (Noboru)
N5 Boisson : 飲み物 , のみもの, (Nomimono)
N5 Boire : 飲む , のむ, (Nomu)
N5 Monter dans (un transport) : 乗る , のる, (Noru)
N5 Dent : 歯 , は, (Ha)
N5 Fête : パーティー , パーティー, (Paatii)
N5 Oui : はい , はい, (Hai)
N5 Cendrier : 灰皿 , はいざら, (Haizara)
N5 Entrer : 入る , はいる, (Hairu)
N5 Carte postale : 葉書 , はがき, (Hagaki)
N5 Boîte : 箱 , はこ, (Hako)
N5 Pont : 橋 , はし, (Hashi)
N5 Baguettes : 箸 , はし, (Hashi)
N5 Commencer (intransitif) : 始まる , はじまる, (Hajimaru)
N5 Début : 初め , はじめ, (Hajime)
N5 Pour la première fois : 初めて , はじめて, (Hajimete)
N5 Courir : 走る , はしる, (Hashiru)
N5 Bus : バス , バス, (Basu)
N5 Beurre : バター , バター, (Bataa)
N5 20 ans : 二十歳 , はたち, (Hatachi)
N5 Travailler : 働く , はたらく, (Hataraku)
N5 20 jours : 二十日 , はつか, (Hatsuka)
N5 Fleur : 花 , はな, (Hana)
N5 Nez : 鼻 , はな, (Hana)
N5 Discussion : 話 , はなし, (Hanashi)
N5 Parler : 話す , はなす, (Hanasu)
N5 Ma mère : 母 , はは, (Haha)
N5 Tôt : 早い , はやい, (Hayai)
N5 Rapide : 速い , はやい, (Hayai)
N5 Printemps : 春 , はる, (Haru)
N5 Coller : 貼る , はる, (Haru)
N5 Beau temps : 晴れ , はれ, (Hare)
N5 Se dégager (météo) : 晴れる , はれる, (Hareru)
N5 Moitié : 半 , はん, (Han)
N5 Soir : 晩 , ばん, (Ban)
N5 Pain : パン , パン, (Pan)
N5 Mouchoir en tissu : ハンカチ , ハンカチ, (Hankachi)
N5 Numéro : 番号 , ばんごう, (Bangou)
N5 Repas du soir : 晩ご飯 , ばんごはん, (Bangohan)
N5 Moitié : 半分 , はんぶん, (Hanbun)
N5 Est : 東 , ひがし, (Higashi)
N5 Compteur pour petits animaux : 匹 , ひき, (Hiki)
N5 Tirer : 引く , ひく, (Hiku)
N5 Jouer (instrument à cordes ou clavier) : 弾く , ひく, (Hiku)
N5 Bas : 低い , ひくい, (Hikui)
N5 Avion : 飛行機 , ひこうき, (Hikouki)
N5 Gauche : 左 , ひだり, (Hidari)
N5 Personne : 人 , ひと, (Hito)
N5 Un (objet) : 一つ , ひとつ, (Hitotsu)
N5 Un mois (durée) : 一月 , ひとつき, (Hitotsuki)
N5 Une personne : 一人 , ひとり, (Hitori)
N5 Temps libre : 暇 , ひま, (Hima)
N5 Surface : 表 , おもて, (Omote)
N5 Hôpital : 病院 , びょういん, (Byouin)
N5 Maladie : 病気 , びょうき, (Byouki)
